FILE,ISSUES,BUGS,SUPPORT_BUGS,P1,P2,P3,P4,MAX_COMPLEXITY,HAL_VOLUME,COVERAGE,LINES,LINES_COVERED
"f016a2509ed5f53c580d733e91320f44c0f63cccbb3d7e8098f3cd9a.js",2,2,1,0,1,1,0,-1,-1,0.0,0,0
"e2195f8ab51e29019f9902226f8d58471c4e66df2be0a9fcbf91282d.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"71b2dc8ac9d6084aa014673dfbd4a3c9ae069c0d94f29a35578d713f.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"f11a52c01450883539432d80c5eaa6b1bc87afdbce5fd58761d9fe17.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"4a729e81230f6de56f15eea0b2b9932333c276ebda74b89fd7066e56.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"71cf52dc00a646e04c6aa752b6baf59179401285c4be63b98f5407be.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"1476a34800b525added03386a3dd9961c14977d97661047cbb94f80e.js",2,2,1,0,0,2,0,-1,-1,0.0,0,0
"434a6485682607d890f228ff4a9f5f44ada6903e8b7152310885181e.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"3328ebb1bd3654fee917ce6a68fa3705d747d1fca2489be41677a897.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"6cad0a6decfd8eef58ebd8f70accb81be173d68f3347699b44b6c146.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"e454d58f13778895ed0745b2af776fe7e093aa15fe03772ef2575663.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"656184c0c4786480ca90439113b9b91e034880aba458baabc34c1e1b.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"682cfcf251bd68cfd9b9f13399f62afad234a2b932eeb57111300c46.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"4449ab630bd2ffdc95b1243bd7bae74e32abeab79075d854c07f88df.js",2,2,1,0,0,2,0,-1,-1,0.0,0,0
"d05a932010380319bbcb673a3d7ee57a43d59eccdb15d19bf2332df1.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"1623292d4b1b7714d3298e79fce3fd417b5ef34a42152a3143d89b64.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"c3fcf80b27beb0c3682289f8882f9329e7293e3ea617301765bd3e0e.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"81ab2098d7bf9fe0a9661d56f4b3d78e935a355038240279a6d85571.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"573c2bb2ad9fa61294843d754a2dac7ab8363a95c7a91b8a5eba089d.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"6d3aba25b3ddff16b565ba5d0bff67ea91dc6f2667ce29deb8e6b585.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"14ecf914d9a770cc76b351ac1b7b387c25b5e9355c85a10f6a6c3462.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"e75ab78ed6fca656cc0d3baaea3afb284673f04dc134a1b2510d0f60.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"d54b6acf9784270ea2de2d28d5d921d4cc39dde4e3423c358e07ab84.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"18c88f4cae71a27637b1579264d60c33427b1c39add6e578ba99a2b7.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"c5f455945fdc34891506696f7e45ff2dc87e6e487253c43d1cf6f1fa.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"4ef6b53675756a9119e625f535cfe5f0bec2a86a577fa5f61b6cd210.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"6dce335068678cefd0fe5c396e1ba32d9ce8a0004a3492b0ffd13cb6.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"a9fa5021116cc851b03bd46f62f478498522ed2298a02a18baee1107.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"16bf1b9e4be42421587a2e542b0add7eabb0fc02bbeac7a3e5f787ac.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
